"ID","Hospcode","Kpi Year","Kpi No","Kpi ID","Kpi Provcode","Kpi Order","Kpi Definition","Kpi A Value","Kpi B Value","Kpi C Value","Kpi D Value","Kpi E Value","Kpi F Value","Kpi Result","Kpi Result Q1","Kpi Result Q2","Kpi Result Q3","Kpi Result Q4","Kpi Condition","Kpi Formula","Kpi Sql","Update โดย","Last Update","Kpi A Value Q1","Kpi B Value Q1","Kpi C Value Q1","Kpi D Value Q1","Kpi E Value Q1","Kpi F Value Q1","Kpi A Value Q2","Kpi B Value Q2","Kpi C Value Q2","Kpi D Value Q2","Kpi E Value Q2","Kpi F Value Q2","Kpi A Value Q3","Kpi B Value Q3","Kpi C Value Q3","Kpi D Value Q3","Kpi E Value Q3","Kpi F Value Q3","Kpi A Value Q4","Kpi B Value Q4","Kpi C Value Q4","Kpi D Value Q4","Kpi E Value Q4","Kpi F Value Q4","แนบไฟล์","แนบรูปภาพกิจกรรม","Ref","แนบรายงาน Quick Win ไตรมาส 1","แนบรายงาน Quick Win ไตรมาส 2","แนบรายงาน Quick Win ไตรมาส 3","แนบรายงาน Quick Win ไตรมาส 4","Rep Q1","Rep Q2","Rep Q3","Rep Q4","Content Date","Note","Key"
"19836","1","2563","14","1496","11","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:18:39","0","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19837","2","2563","14","1496","12","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:18:43","0","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19838","3","2563","14","1496","13","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:31:06","0","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19839","4","2563","14","1496","14","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:31:09","0","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19840","5","2563","14","1496","15","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:31:13","0","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19841","6","2563","14","1496","16","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:31:16","0","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19842","7","2563","14","1496","17","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:31:20","0","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19843","8","2563","14","1496","18","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:31:24","0","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19844","9","2563","14","1496","19","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:31:27","0","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19845","10","2563","14","1496","20","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:31:31","0","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
